"Downtown Transit Center – B, D, F, H, J",UVM Medical Center,Winooski Falls at Champlain Mill,Saint Michael’s College,Fort Ethan Allen at Catamount Lane,Global Foundries,Amtrak Station
6:00 AM,6:07 AM,6:14 AM,6:17 AM,6:22 AM,6:31 AM,6:40 AM
6:20 AM,6:27 AM,6:34 AM,6:37 AM,6:42 AM,—,6:55 AM
6:40 AM,6:47 AM,6:54 AM,6:57 AM,7:02 AM,—,7:15 AM
7:00 AM,7:07 AM,7:14 AM,7:17 AM,7:22 AM,7:31 AM,7:40 AM
7:20 AM,7:27 AM,7:34 AM,7:37 AM,7:42 AM,—,7:55 AM
7:40 AM,7:47 AM,7:54 AM,7:57 AM,8:02 AM,—,8:15 AM
8:00 AM,8:07 AM,8:14 AM,8:17 AM,8:22 AM,—,8:35 AM
8:20 AM,8:27 AM,8:34 AM,8:37 AM,8:42 AM,—,8:55 AM
8:40 AM,8:47 AM,8:54 AM,8:57 AM,9:02 AM,—,9:15 AM
9:00 AM,9:07 AM,9:14 AM,9:17 AM,9:22 AM,—,9:30 am*
9:20am,9:27 AM,9:33 AM,9:36 AM,9:41 AM,—,9:50 AM
9:40 AM,9:47 AM,9:53 AM,9:56 AM,10:01 AM,—,10:10 AM
10:00 AM,10:07 AM,10:13 AM,10:16 AM,10:21 AM,—,10:30 AM
10:20 AM,10:27 AM,10:33 AM,10:36 AM,10:41 AM,—,10:50 AM
10:40 AM,10:47 AM,10:53 AM,10:56 AM,11:01 AM,—,11:10 AM
11:00 AM,11:07 AM,11:13 AM,11:16 AM,11:21 AM,—,11:30 AM
11:20 AM,11:27 AM,11:33 AM,11:36 AM,11:41 AM,—,11:50 AM
11:40 AM,11:47 AM,11:53 AM,11:56 AM,12:01 PM,—,12:10 PM
12:00 PM,12:07 PM,12:14 PM,12:17 PM,12:22 PM,—,12:35 PM
12:20 PM,12:27 PM,12:34 PM,12:37 PM,12:42 PM,—,12:55 PM
12:40 PM,12:47 PM,12:54 PM,12:57 PM,1:02 PM,—,1:15 PM
1:00 PM,1:07 PM,1:14 PM,1:17 PM,1:22 PM,—,1:35 PM
1:20 PM,1:27 PM,1:34 PM,1:37 PM,1:42 PM,—,1:55 PM
1:40 PM,1:47 PM,1:54 PM,1:57 PM,2:02 PM,—,2:15 PM
2:00 PM,2:07 PM,2:14 PM,2:17 PM,2:22 PM,—,2:35 PM
2:20 PM,2:27 PM,2:34 PM,2:37 PM,2:42 PM,—,2:55 PM
2:40 PM,2:47 PM,2:54 PM,2:57 PM,3:02 PM,—,3:15 PM
3:00 PM,3:09 PM,3:17 PM,3:21 PM,3:26 PM,—,3:40 PM
3:20 PM,3:29 PM,3:37 PM,3:41 PM,3:46 PM,—,4:00 PM
3:40 PM,3:49 PM,3:57 PM,4:01 PM,4:06 PM,4:18 PM,4:30 PM
4:00 PM,4:09 PM,4:17 PM,4:21 PM,4:26 PM,—,4:40 PM
4:20 PM,4:29 PM,4:37 PM,4:41 PM,4:46 PM,—,5:00 PM
4:40 PM,4:49 PM,4:57 PM,5:01 PM,5:06 PM,—,5:20 PM
5:00 PM,5:09 PM,5:17 PM,5:21 PM,5:26 PM,—,5:40 PM
5:20 PM,5:29 PM,5:37 PM,5:41 PM,5:46 PM,—,6:00 PM
5:40 PM,5:49 PM,5:57 PM,6:01 PM,6:06 PM,—,6:20 PM
6:00 PM,6:09 PM,6:17 PM,6:21 PM,6:26 PM,6:34 PM,6:40 PM
6:30 PM,6:37 PM,6:43 PM,6:46 PM,6:51 PM,—,7:00 PM
7:00 PM,7:07 PM,7:14 PM,7:17 PM,7:22 PM,7:29 PM,7:35 PM
8:00 PM,8:07 PM,8:13 PM,8:16 PM,8:21 PM,—,8:30 PM
9:15 PM,9:22 PM,9:28 PM,9:31 PM,9:36 PM,—,9:45 PM
10:30 PM,10:37 PM,10:43 PM,10:46 PM,10:51 PM,—,11:00 PM