Amtrak Station,Fort Ethan Allen at Catamount Lane,Saint Michael's College,Spinner Place at Champlain Mill,UVM Medical Center,Downtown Transit Center
7:10 AM,7:18 AM,7:21 AM,7:25 AM,7:32 AM,7:40 AM
7:40 AM,7:48 AM,7:51 AM,7:55 AM,8:02 AM,8:10 AM
8:10 AM,8:18 AM,8:21 AM,8:25 AM,8:32 AM,8:40 AM
8:40 AM,8:48 AM,8:51 AM,8:55 AM,9:02 AM,9:10 AM
9:10 AM,9:18 AM,9:21 AM,9:25 AM,9:32 AM,9:40 AM
9:40 AM,9:48 AM,9:51 AM,9:55 AM,10:02 AM,10:10 AM
10:10 AM,10:18 AM,10:21 AM,10:25 AM,10:32 AM,10:40 AM
10:40 AM,10:48 AM,10:51 AM,10:55 AM,11:02 AM,11:10 AM
11:10 AM,11:18 AM,11:21 AM,11:25 AM,11:32 AM,11:40 AM
11:40 AM,11:48 AM,11:51 AM,11:55 AM,12:02 PM,12:10 PM
12:10 PM,12:18 PM,12:21 PM,12:25 PM,12:32 PM,12:40 PM
12:40 PM,12:48 PM,12:46 PM,12:55 PM,1:02 PM,1:10 PM
1:10 PM,1:18 PM,1:21 PM,1:25 PM,1:32 PM,1:40 PM
1:40 PM,1:48 PM,1:51 PM,1:55 PM,2:02 PM,2:10 PM
2:10 PM,2:18 PM,2:21 PM,2:25 PM,2:32 PM,2:40 PM
2:40 PM,2:48 PM,2:51 PM,2:55 PM,3:02 PM,3:10 PM
3:10 PM,3:18 PM,3:21 PM,3:25 PM,3:32 PM,3:40 PM
3:40 PM,3:48 PM,3:51 PM,3:55 PM,4:02 PM,4:10 PM
4:10 PM,4:18 PM,4:21 PM,4:25 PM,4:32 PM,4:40 PM
4:40 PM,4:48 PM,4:51 PM,4:55 PM,5:02 PM,5:10 PM
5:10 PM,5:18 PM,5:21 PM,5:25 PM,5:32 PM,5:40 PM
5:40 PM,5:48 PM,5:51 PM,5:55 PM,6:02 PM,6:10 PM
6:10 PM,6:18 PM,6:21 PM,6:25 PM,6:32 PM,6:40 PM
6:40 PM,6:48 PM,6:51 PM,6:55 PM,7:02 PM,7:10 PM
7:10 PM,7:18 PM,7:21 PM,7:25 PM,7:32 PM,7:40 PM
7:40 PM,7:48 PM,7:51 PM,7:55 PM,8:02 PM,8:10 PM
8:40 PM,8:48 PM,8:51 PM,8:55 PM,9:02 PM,9:10 PM
9:55 PM,10:03 PM,10:06 PM,10:10 PM,10:17 PM,10:25 PM
11:10 PM,11:18 PM,11:21 PM,11:25 PM,11:32 PM,11:40 PM