"Downtown Transit Center – B, D, F, H, J",UVM Medical Center,Winooski Falls at Champlain Mill,Saint Michael’s College,Fort Ethan Allen at Catamount Lane,Amtrak Station
8:00 AM,8:07 AM,8:13 AM,8:16 AM,8:21 AM,8:30 AM
8:45 AM,8:52 AM,8:58 AM,9:01 AM,9:06 AM,9:15 AM
9:30 AM,9:37 AM,9:43 AM,9:46 AM,9:51 AM,10:00 AM
10:15 AM,10:22 AM,10:28 AM,10:31 AM,10:36 AM,10:45 AM
11:00 AM,11:07 AM,11:13 AM,11:16 AM,11:21 AM,11:30 AM
11:45 AM,11:52 AM,11:58 AM,12:01 PM,12:06 PM,12:15 PM
12:30 PM,12:37 PM,12:43 PM,12:46 PM,12:51 PM,1:00 PM
1:15 PM,1:22 PM,1:28 PM,1:31 PM,1:36 PM,1:45 PM
2:00 PM,2:07 PM,2:13 PM,2:16 PM,2:21 PM,2:30 PM
2:45 PM,2:52 PM,2:58 PM,3:01 PM,3:06 PM,3:15 PM
3:30 PM,3:37 PM,3:43 PM,3:46 PM,3:51 PM,4:00 PM
4:15 PM,4:22 PM,4:28 PM,4:31 PM,4:36 PM,4:45 PM
5:00 PM,5:07 PM,5:13 PM,5:16 PM,5:21 PM,5:30 PM
5:45 PM,5:52 PM,5:58 PM,6:01 PM,6:06 PM,6:15 PM
6:30 PM,6:37 PM,6:43 PM,6:46 PM,6:51 PM,7:00 PM