Walmart,White Cap Business Park,Williston Road at Kennedy Drive,University Mall,University Heights,Downtown Transit Center
6:00 AM,—,6:08 AM,6:16 AM,6:23 AM,6:30 AM
6:20 AM,—,6:28 AM,6:36 AM,6:43 AM,6:50 AM
6:40 AM,—,6:48 AM,6:56 AM,7:03 AM,7:10 AM
7:00 AM,—,7:08 AM,7:16 AM,7:23 AM,7:30 AM
7:20 AM,—,7:29 AM,7:38 AM,7:46 AM,7:55 AM
7:40 AM,—,7:49 AM,7:58 AM,8:06 AM,8:15 AM
8:05 AM,—,8:14 AM,8:23 AM,8:31 AM,8:40 AM
8:25 AM,—,8:34 AM,8:43 AM,8:51 AM,9:00 AM
8:45 AM,—,8:54 AM,9:03 AM,9:11 AM,9:20 AM
9:05 AM,—,9:14 AM,9:23 AM,9:31 AM,9:40 AM
9:25 AM,—,9:34 AM,9:43 AM,9:51 AM,10:00 AM
9:45 AM,—,9:54 AM,10:03 AM,10:11 AM,10:20 AM
10:05 AM,—,10:15 AM,10:25 AM,10:33 AM,10:45 AM
10:25 AM,—,10:35 AM,10:45 AM,10:53 AM,11:05 AM
10:45 AM,—,10:55 AM,11:05 AM,11:13 AM,11:25 AM
11:05 AM,—,11:15 AM,11:25 AM,11:33 AM,11:45 AM
11:25 AM,—,11:35 AM,11:45 AM,11:53 AM,12:05 PM
11:50 AM,—,12:00 PM,12:10 PM,12:18 PM,12:30 PM
12:10 PM,—,12:20 PM,12:30 PM,12:38 PM,12:50 PM
12:30 PM,—,12:40 PM,12:50 PM,12:58 PM,1:10 PM
12:50 PM,—,1:00 PM,1:10 PM,1:18 PM,1:30 PM
1:10 PM,—,1:20 PM,1:30 PM,1:38 PM,1:50 PM
1:30 AM,—,1:40 PM,1:50 PM,1:58 PM,2:10 PM
1:50 PM,—,2:00 PM,2:10 PM,2:18 PM,2:30 PM
2:10 PM,—,2:20 PM,2:30 PM,2:38 PM,2:50 PM
2:30 PM,—,2:40 PM,2:51 PM,3:01 PM,3:15 PM
2:50 PM,—,3:00 PM,3:11 PM,3:21 PM,3:35 PM
3:10 PM,—,3:20 PM,3:31 PM,3:41 PM,3:55 PM
3:35 PM,—,3:45 PM,3:56 PM,4:06 PM,4:20 PM
3:55 PM,—,4:05 PM,4:16 PM,4:26 PM,4:40 PM
4:15 PM,—,4:25 PM,4:36 PM,4:46 PM,5:00 PM
4:35 PM,—,4:45 PM,4:56 PM,5:06 PM,5:20 PM
4:55 PM,—,5:05 PM,5:16 PM,5:26 PM,5:40 PM
5:15 PM,5:24 PM,5:28 PM,5:39 PM,5:49 PM,6:03 PM
5:35 PM,—,5:45 PM,5:55 PM,6:03 PM,6:15 PM
5:50 PM,—,6:00 PM,6:10 PM,6:18 PM,6:30 PM
6:10 PM,—,6:20 PM,6:30 PM,6:38 PM,6:50 PM
6:25 PM,—,6:34 PM,6:43 PM,6:51 PM,7:00 PM
6:45 PM,—,6:54 PM,7:03 PM,7:11 PM,7:20 PM
7:15 PM,—,7:24 PM,7:33 PM,7:41 PM,7:50 PM
7:40 PM,—,7:48 PM,7:56 PM,8:03 PM,8:10 PM
8:40 PM,—,8:48 PM,8:56 PM,9:03 PM,9:10 PM
9:55 PM,—,10:03 PM,10:11 PM,10:18 PM,10:25 PM
11:10 PM,—,11:18 PM,11:26 PM,11:28 PM,11:40 PM