"Downtown Transit Center – A, C, E, G, I",University Heights,University Mall,Williston Road at Kennedy Drive,White Cap Business Park,Walmart
6:00 AM,6:06 AM,6:12 AM,6:20 AM,—,6:30 AM
6:20 AM,6:26 AM,6:32 AM,6:40 AM,6:43 AM,6:53 AM
6:40 AM,6:46 AM,6:52 AM,7:00 AM,—,7:10 AM
7:00 AM,7:06 AM,7:12 AM,7:20 AM,7:23 AM,7:33 AM
7:20 AM,7:28 AM,7:35 AM,7:40 AM,—,7:55 AM
7:40 AM,7:48 AM,7:55 AM,8:03 AM,—,8:15 AM
8:00 AM,8:08 AM,8:15 AM,8:23 AM,—,8:35 AM
8:20 AM,8:28 AM,8:35 AM,8:43 AM,—,8:55 AM
8:40 AM,8:48 AM,8:55 AM,9:03 AM,—,9:15 AM
9:00 AM,9:08 AM,9:15 AM,9:23 AM,—,9:35 AM
9:20 AM,9:28 AM,9:35 AM,9:43 AM,—,9:55 AM
9:40 AM,9:48 AM,9:55 AM,10:03 AM,—,10:15 AM
10:00 AM,10:08 AM,10:15 AM,10:23 AM,—,10:35 AM
10:20 AM,10:28 AM,10:35 AM,10:43 AM,—,10:55 AM
10:40 AM,10:48 AM,10:55 AM,11:03 AM,—,11:15 AM
11:00 AM,11:09 AM,11:16 AM,11:25 AM,—,11:40 AM
11:20 AM,11:29 AM,11:36 AM,11:45 AM,—,12:00 PM
11:40 AM,11:49 AM,11:56 AM,12:05 PM,—,12:20 PM
12:00 PM,12:09 PM,12:16 PM,12:25 PM,—,12:40 PM
12:20 PM,12:29 PM,12:36 PM,12:45 PM,—,1:00 PM
12:40 PM,12:49 PM,12:56 PM,1:05 PM,—,1:20 PM
1:00 PM,1:09 PM,1:16 PM,1:25 PM,—,1:40 PM
1:20 PM,1:29 PM,1:36 PM,1:45 PM,—,2:00 PM
1:40 PM,1:49 PM,1:56 PM,2:05 PM,—,2:20 PM
2:00 PM,2:09 PM,2:16 PM,2:25 PM,—,2:40 PM
2:20 PM,2:29 PM,2:36 PM,2:45 PM,—,3:00 PM
2:40 PM,2:53 PM,3:00 PM,3:10 PM,—,3:25 PM
3:00 PM,3:13 PM,3:20 PM,3:30 PM,—,3:45 PM
3:20 PM,3:33 PM,3:40 PM,3:50 PM,—,4:05 PM
3:40 PM,3:53 PM,4:00 PM,4:10 PM,—,4:25 PM
4:00 PM,4:13 PM,4:20 PM,4:30 PM,—,4:45 PM
4:20 PM,4:33 PM,4:40 PM,4:50 PM,—,5:05 PM
4:40 PM,4:53 PM,5:00 PM,5:10 PM,—,5:25 PM
5:00 PM,5:09 PM,5:16 PM,5:25 PM,—,5:40 PM
5:20 PM,5:29 PM,5:36 PM,5:45 PM,—,6:00 PM
5:40 PM,5:48 PM,5:55 PM,6:03 PM,—,6:15 PM
6:00 PM,6:08 PM,6:15 PM,6:23 PM,—,6:35 PM
6:30 PM,6:38 PM,6:45 PM,6:53 PM,—,7:05 PM
7:00 PM,7:06 PM,7:12 PM,7:20 PM,—,7:30 PM
8:00 PM,8:06 PM,8:12 PM,8:20 PM,—,8:30 PM
9:15 PM,9:21 PM,9:27 PM,9:35 PM,—,9:45 PM
10:30 PM,10:36 PM,10:42 PM,10:50 PM,—,11:00 PM